,,,,,,,,,,,,,,,,,,,,,
,№,Контрагент,,,,,,,,,договр,,МП,,,,,БУГАЛТЕРИЯ,,,
,21,207216749,"""SHUXRAT MALHAM"" OK","Andijon viloyati, Andijon tumani, Gumbaz shaharchasi Gumbaz mahallasi",943859060,direktor,KOMILOV SHUXRATJON MUSAJONOVICH,,00083,20208000400399403001,394 от 20.06.2024,принито,Хилола,,Андижон,,,,,,
,22,202269496,"""NODIRBEK"" XK","Surxondaryo viloyati, Sariosiyo tumani, Sariosiyo shaharchasi Afrosiyob mahallasi, K.Bexzod ko'chasi, 45-uy",915734717,direktor,ASATIDINOV XUSHMAMAT SALOXITDINOVICH,,00440,20208000401935645001,184 от 05.06.2023,принито,Азиз,,Самарканд,,,,,,
,23,308077333/1,"""SAMFARM"" MCHJ","Toshkent shahri, Yashnobod tumani Mumtoz MFY, Mumtoz ko'chasi, 5-uy",977008948,direktor,IZBASAROV G‘ULOM IBRAGIMOVICH,,01041,20208000305327930001,80 от 07.02.2023,принито,Хикматилла,,Тошкент,,,,,,
,24,202297178,"""SANJAR-ZAFAR"" XK","Surxondaryo viloyati, Termiz sh. S.Saodat ko'chasi, 119-uy",915800027,direktor,MALLAYEV BAZAR GULLIYEVICH,,01032,20208000402231801001,317 от 23.02.2024,принито,Шахноза,,Термиз,,,,,,
,25,302078763,"""NUKUS GERMES FARM"" XK","Qoraqalpog'iston Respublikasi, Nukus sh. Sh.Rashidov ko'chasi, 59-uy",612227183,direktor,ISHANOV AZAT MARATOVICH,,01038,20208000104939290001,71 от 03.02.2023,принито,Улзода,90/577-68-26,Нукус,,,,,230100,
,26,204804074,XK FIZIO MUOLAJA,"Qashqadaryo viloyati, Qarshi sh. Xujaxiyol mahallasi, Nasaf ko'chasi, 160-uy",997010146,direktor,YANGIBOYEVA ELMIRA MUXAMMADIYEVNA,,00491,20208000804308366001,139 от 12.04.2023,принито,Хусан,,Карши,,,,,,
,27,201782786,"""IXLOS"" QMJ","Farg'ona viloyati, Marg'ilon sh. B.Marg'iloniy ko'chasi, 439-uy",916620055,direktor,USMANOV JAMOLIDDIN MAXAMADMUSAYEVICH,,01037,20208000500215694001,351 от 24.04.2024,принито,Нодира,97/045-50-05,Маргилон,,,,,151100,
,28,307857178,"""PHARM SPEED"" MCHJ","Sirdaryo viloyati, Guliston sh. Taraqqiyot MFY, Sayxun ko`chasi, 6A-uy",994417702,direktor,ELIBOYEV BOBUR VOXID O‘G‘LI,,00364,20208000005297118001,262 от 24.10.2023,принито,Хулкар ,94/580-06-86,Гулистон,,,,,120100,
,29,302938451,"""MADINA SHIFO NUR"" MCHJ","Toshkent shahri, Sirg'ali tumani SERGELI-6 DAXASI, MEXRIGIYO MFY",933782734,direktor,UBAYDULLAYEV SHERZOD ALISHEROVICH,,01070,20208000600308244001,314 от 22.02.2024,принито,Хикматилла ,95/870-71-77,Тошкент,,,,,,
,30,200394580,"""ZAFAR"" XK","Qoraqalpog'iston Respublikasi, Xo'jayli tumani, Xo'jayli shahri Mustaqqillik ko'chasi, 16- uy",615545059,direktor,SULTANOV KAMIL ISMAYLOVICH,,00433,20208000900335194001,224 от 02.08.2023,принито,ULMEKEN,93/486-68-60,NUKUS,,,,91/377-00-11,230100,
,31,303303592/1,"""GRAND PHARM TRADE"" MCHJ","Toshkent shahri, Olmazor tumani UZUMBOG`10-TOR KO`CHASI, 28A-UY",977699920,direktor,RAXIMOV ALISHER ABDUXAKIM O‘G‘LI,,01036,20208000000458557001,293 от 24.01.2024,принито,Хикматилла,,Тошкент,,,,,,
,32,305590047/1,"""CITY  PHARM"" MCHJ","Toshkent shahri, Yunusobod tumani 5-MAVZE, 23-UY, 25-XONA",900210830,direktor,XOTAMOV ULUGBEK UKTAM O‘G‘LI,,01122,20208000400888398001,331 от 15.03.2024,принито,XIKMATILLA,,TOSHKENT,,,,,,
,33,305857338,"""NAZARBEK - MED - FARM"" XK","
Surxondaryo viloyati, Sariosiyo tumani, Sariosiyo shaharchasi Afrosiyob mahallasi, K.Bexzod ko'chasi, raqamsiz uy",915157379,direktor,BO‘RIYEV RUSTAM URAL O‘G‘LI,,00440,20208000400942499001,228 от 04.08.2023,принито,Азиз,,Сирдарйо,,,,,,
,34,304972251,"""BEK BARAKA SAMARQAND IK"" XK","Samarqand viloyati, Samarqand sh. Sug‘diyona maskani, 50 A-uy",955007211,direktor,KARIMOV XUMOYUN SHAVKAT O‘G‘L,,00395,20208000700804663001,358 от 06.05.2024,принито,Комил,,Самарканд,,,,,,
,35,204975836,"""SITORA DALER"" XK","Samarqand viloyati, Samarqand tumani, Ohalik QFY Хужа Ахрор махалласи",77582222,direktor,RAXIMOV BAXRILLO BOLTAYEVICH,,01125,20208000104327660001,167 от 10.05.2023,принито,Комил,,Самарканд,,,,,,
,36,200712872,"""ASKLEPIY"" MCHJ XK","Toshkent shahri, Olmazor tumani BAYROQTOL KO`CHASI, 15-UY",662227779,direktor,XOLMATOV SUR’AT SHAVKATOVICH,,00450,20208000700398948001,173 от 16.05.2023,принито,Хикматилла,,Тошкент,,,,,,
,37,302758787,"""IQBOL FARM SERVIS"" MCHJ","Andijon viloyati, Izboskan tumani, Izboskan QFY С.Солохиддинов кучаси 110",943807818,direktor,QOYUMOV IQBOLJON JAMOLIDINOVICH,,00491,20208000100267193001,283 от 26.12.2023,принито,Гулноза,,Андижон,,,,91/499-07-00,,
,38,309617940,"""EVRO MED BIZNES"" OK","Qashqadaryo viloyati, Qarshi sh. Bunyodkor mahallasi, Xalqlar Do'stligi ko'chasi, 2a-uy",972915151,direktor,UZOQOVA MOHINUR ILHOM QIZI,,01037,20208000205534956001,89 от 13.02.2023,принито,Хусан,,Карши,,,,,,
,39,301652217,"""O`KTAM-RANO"" MCHJ","Sirdaryo viloyati, Mirzaobod tumani, Birlashgan QFY M.Ulug'bek SIU, Pillakor qo'rg'oni, Fitrat ko'chasi, 1-uy",673424156,direktor,XUDAYQULOVA RANO TULAGANOVNA,,00364,20208000704857573001,127 от 27.03.2023,принито,Сарвиноз,,Гулистон,,,,,,
,40,304935099,"""NASIBA NODIRBEK SHIFO"" MCHJ","Xorazm viloyati, Gurlan tumani, Gurlan shaharchasi Ziroatchilar ko'chasi, 35 a-uy",943120302,direktor,SAPAROV ALISHER ISKANDAROVICH,,00083,20208000200783268001,51 от 24.01.2023,принито,Лайло,,Хоразм,,,,,,
,41,305861856,"""MEROS PHARM"" MCHJ","Samarqand viloyati,  Samarqand sh. Beruniy ko'chasi, 1-uy, 5-xona",979140509,direktor,PULOTOV SUXROB SHAVKATOVICH,,00491,20208000300945256001,22 от 11.01.2023,принито,Хикматилла,95/870-71-77,Тошкент,,,BOBUR,90/656-88-86,,
,42,304979598,"""HAMKOR SALOMATLIK"" MCHJ","Sirdaryo viloyati, Guliston sh. Taraqqiyot maxallasi, Bunyodkor ko`chasi, 58-uy",911000074,direktor,QARSHIBAYEV JAXONGIR ABDUMALIKOVICH,,00446,20208000300787392001,16 от 09.01.2023,принито,Хулкар,,Сирдарйо,,,JAXONGIR,91/100-00-74,,
,43,202932874,"""RANO"" XK","Qoraqalpog'iston Respublikasi, Kegeyli tumani, Kegeyli shaharchasi Кайпназаров кучаси 24 уй",4123534,direktor,YERIMBETOVA GULJAXAN TURSINBAYEVNA,,00589,20208000804006214001,368 от 16.05.2024,принито,Улмекен,93/486-68-60,Нукус,,,,97/508-78-98,230100,
,44,306434586,"""MAKARYA-SULIW"" MCHJ","Qoraqalpog'iston Respublikasi, Kegeyli tumani, Kegeyli shaharchasi Kegeyli guzari, r/u",973557800,direktor,DOSSHANOV BERDAX ALEUOVICH,,00873,20208000605078528001,366 от 15.05.2024,принито,Улмекен,,Нукус,,,,,,
,45,300617149,"""ABDULAZIZ-RAXIMJON"" MCHJ","Qoraqalpog'iston Respublikasi, To'rtko'l tumani, To'rtko'l shahri Xudaybergenov ko'chasi, 17-uy",913883003,direktor,RAXIMBAYEV ATANAZAR ACHILOVICH,,00433,20208000304673722001,171 от 12.05.2023,принито,Хонзода,,Ургенч,,,FURQAT ,88/220-54-04,,
,46,207181311,"""QUDRATILLA BARAKA SAVDO"" MCHJ","Toshkent shahri, Olmazor tumani Ш.Шоший 2-берк кучаси 53-уй",6031553,direktor,XIKMATULLAYEVA FATIMA DJURAYEVNA,,00444,20208000200223952001,367 от 16.05.2024,принито,Хусниябону,,Тошкент,,,,,,
,47,302252888,"""EDELVEYS FARM""MCHJ","Qoraqalpog'iston Respublikasi, Nukus sh. K.Kachakov ko'chasi, 1a-uy",933636363,direktor,TULENTAYEVA NURGUL AKIMOVNA,,00830,20208000504970249001,"58 от 27,01,2023",принито,ULZADA,,NUKUS,,,,,,
,48,301681165,"""SIRDARYO DARMON SERVIS"" MCHJ","Sirdaryo viloyati, Guliston sh. Na`muna MFY, Xalqlar Do`stligi ko`chasi",943542716,direktor,ABDURAXMONOV BOTIR JURABOYEVICH,,00873,20208000904862581001,403 от 05.07.2024,принито,Хулкар,,Сирдарйо,,,,,,
,49,302018433,"""SHOMANAY SHIPA INVEST"" XK","Qoraqalpog'iston Respublikasi, Shumanay tumani, Shumanay shahri А.Мusaev кo'chasi 36 uy",905776663,direktor,ISHMURATOVA TAMARA MATKARIMOVNA,,01125,20208000204929188001,60 от 27.01.2023,принито,MAXMUD,91/097-17-72,NUKUS,,,,,230100,
,50,306297662,"""INOMJON XOJI FARM"" MCHJ","Andijon viloyati, Andijon sh. G`isht zavodi boshqarmasi, 1-uy, 46-xonadon",916112005,direktor,XAKIMOVA LOLA ALISHEROVNA,,01114,20208000205048091001,282 от 22.12.2023,принито,Олтиной,,Андижон,,,,91 611 20 05 BUХ,,
,51,306251578,"""MIR APTEKA"" MCHJ","Qoraqalpog'iston Respublikasi, Nukus sh. Danishpan ko'chasi, 39-uy",906517039,direktor,UMATOVA AYZADA VALIYEVNA,,00440,20208000805040201001,186 от 06.06.2023,принито,УЛЗОДА,90/577-68-26,НУКУС,,,sarvinoz,97/789-34-34,230100,
,52,201468700,"""MUXDILXON FARM"" XK","Surxondaryo viloyati, Sariosiyo tumani, Sariosiyo shaharchasi Afrosiyob mahallasi, T.Xasanov ko'chasi, raqamsiz uy",764832731,direktor,KORAKULOV NODIR XOLMATOVICH,,00440,20208000300311103001,244 от 04.09.2023,принито,Ориф,,Сирдарйо,,,,,,
,53,302154566,"""JANUB MIR FARM"" XK","Surxondaryo viloyati, Termiz sh. Afrosiyob ko'chasi, 39 g-uy",902464649,direktor,UZOKOVA UMIDA ESHMUMINOVNA,,00401,20208000904947560001,336 от 29.03.2024,принито,Шахноза,,Термиз,,,SHERALI,97/000-50-20,,
,54,309705468,"""ALMASHRIK FARM"" MCHJ","Samarqand viloyati, Samarqand sh. Mustaqillik mahallasi, Alisher Navoiy ko'chasi, 54-uy",902826660,direktor,ASHUROV BOBIR ABDUXALIMOVICH,,01095,20208000905547213001,356 от 02.05.2024,принито,Комил,,Самарканд,,,,,,
,55,303845726,"""IQBOL FARM NAVOIY"" MCHJ","Navoiy viloyati, Navoiy sh. Guliston MFY, Guliston-3 , 82a-uy",977967007,direktor,NORBOYEVA MUAZZAM O‘KTAMOVNA,,00450,20208000100597652001,374 от 30.05.2024,принито,Зумрад,,Навоий,,,,,,
,56,303339136,"""ILHOMBEK PHARM MEDICAL"" MCHJ","Sirdaryo viloyati, Guliston sh., Ulug'obod QFY Bog'dorchilik ko'chasi, 59-uy",982809020,direktor,KODIROV ILXOM SHAVKATOVICH,,00446,20208000000472131001,383 от 10.06.2024,принито,ХУЛКАР,94/580-06-86,ГУЛИСТОН,,,INOM,97/224-60-63,120100,
,57,203081684,"""ULUG`BEK"" MCHJ","Qashqadaryo viloyati, Qamashi tumani, Qamashi shahri Alisher Navoiy mahallasi, Amir Temur ko'chasi",909151244,direktor,KOSIMOV GANISHER BERDIKOBILOVICH,,01142,20208000604023891001,380 от 06.06.2024,принито,Хусан,,Карши,,,,,,
,58,205519009,"""S-SAIDA-SHIFO"" MCHJ","Samarqand viloyati, Samarqand sh. Fitrat ko'chasi, 1 a-uy",662227693,direktor,ESANBOYEV SALIM SAPARBOYEVICH,,00312,20208000404392959001,73 от 03.02.2023,принито,,,Самарканд,,,,,,
,59,308201756,"""XAYRULLO MEDICALFARM"" MCHJ","Farg'ona viloyati, Oltiariq tumani, Oltiariq shaharchasi Mustaqillik ko'chasi, 76-uy",930497878,direktor,QURBONOV DONIYORJON XAYRULLOJON O‘G‘LI,,00973,20208000905345239001,308 от 14.02.2024,принито,Дилшод,,Фаргона,,,,,,
,60,309159499,"""YOUNG PHARM"" MCHJ","Yunusobod tumani SH.RASHIDOV KO'CHASI, 97А-UY",712036203,direktor,NASIROV SHUXRAT KADIROVICH,,01036,20208000305473984001,35 от 17.01.2023,принито,XIKMATILLA ,95/870-71-77,TOSHKENT,,,,,,
,61,203600163,"""MAXBUBA-NUR"" XK","Surxondaryo viloyati, Denov tumani, Farg'ona QFY Yangi Davr 3 tor ko'chasi, 4-uy",975350556,direktor,DJALILOVA RANO KAXAROVNA,,00440,20208000904117296001,231 от 15.08.2023,принито,Ориф,,Сурхон,,,,,,
,62,303502504,MCHJ FARM LYUKS INVEST,"Samarqand viloyati, Samarqand sh. Spitamenshox ko'chasi, 100 v-uy",902241119,direktor,YOQUBOVA ZEBINISO ANVAROVNA,,01061,20208000800519861001,388 от 13.06.2024,принито,Хикматилла,,Тошкент,,,,,,
,63,204889665,"""SAMSOGDAFARM"" OK","Samarqand viloyati, Samarqand sh. Daxbet ko'chasi, 16-manzil",973983679,direktor,ZARIPOVA FOTIMA QUVANDIQOVNA,,00283,20208000504311637001,306 от 09.02.2024,принито,Комил,,Самарканд,,,,,,
,64,200381653,"""DILOROM"" XK","Qoraqalpog'iston Respublikasi, Kegeyli tumani, Xalqobod shahri Adigamov ko'chasi, 22-uy",614166554,direktor,MATMURATOVA DILORAM BAZARBAYEVNA,,00450,20208000000421607001,401 от 01.07.2024,принито,Улмекен,,Нукус,,,,,,
,65,309897523,"""JEYNOV DORI FARM"" XK","Qashqadaryo viloyati, Mirishkor tumani, Jeynov QFY Baraka mahallasi, Jeynov ko'chasi, 8-uy",972000244,direktor,SAFAROV BEHZOD BAXSHILLOYEVICH,,00184,20208000205571150001,396 от 21.06.2024,принито,Хусан,,Карши,,,,,,
,66,306790138,"""ABU BAKR MEDFARM"" MCHJ","Andijon viloyati, Izboskan tumani, Paytug' shahri Shinam MFY, Tadbirkor ko'chasi",943848844,direktor,IBAYDULLAYEV HOMIDJON XUSANBOYEVICH,,00491,20208000405148809001,373 от 28.05.2024,принито,Гулноз,,Андижон,,,,,,
,67,303362061,"""GULSHODA NUR FARM"" MCHJ","Toshkent shahri, Yunusobod tumani 17-mavze, 28g-uy",908065777,direktor,YANGIYEVA GULNORA NOSIROVNA,,01121,20208000600476897001,399 от 25.06.2024,принито,XOJIAKBAR,33/046-36-36,TOSHKENT,,,,,,
,68,305698472,"""SOXIBQIRON DENTA FARM"" MCHJ","Samarqand viloyati, Pastdarg'om tumani, Juma shahri Xovuzak mahallasi, Ibn Sino tor ko`chasi, 8-uy",973990569,direktor,MARDIYEV ANVARJON SOXIBJON O‘G‘LI,,00450,20208000900933739001,359 от 06.05.2024,принито,Комил,,Самарканд,,,,,,
,69,201498854,"""OZODALIK NJN""XK","Республика Каракалпакстан, Кунградский район, ГРП Кунград, 1735215501, Qoraqalpog'iston ko'chasi, 57d-uy",913773317,direktor,"
Utelbayev Jamshid Kalkorazovna ",,00440,20208000700667080001,270 от 06.12.2023,принито,GULSUM,99/963-91-00,QONGIROT,,,,,230600,
,70,306453452,"""BIOMED FARM 1"" MCHJ","Samarqand viloyati, Samarqand sh. O'zbektrakt ko'chasi,13-uy",979256626,direktor,VOSEYEVA DILSHODA OCHILOVNA,,00262,20208000305083290001,376 от 03.06.2024,принито,Комил,,Самарканд,,,,,,
,71,302962638,"""BIBXONIM NUR BARAKA"" MCHJ","Samarqand viloyati, Samarqand sh. A.Temur ko'chasi, 37-uy",_,direktor,NOMIROV SHERZOD XOLMUROTOVICH,,00491,20208000300364546001,287 от 10.01.2024,принито,Комил,,Самарканд,,,,,,
,72,205126427-,"""FITO-FARM-LEK"" MCHJ","Navoiy viloyati, Navoiy sh. Islom Karimov ko'chasi, 52A-uy",792236065,direktor,YARMUXAMEDOV SANJAR XOSHIMOVICH,,00205,20208000004339090001,01 от 04.01.2023,принито,Зумрад,,Навоий,,,,,,
,73,207216749,"""SHUXRAT MALHAM"" OK","Andijon viloyati, Andijon tumani, Gumbaz shaharchasi Gumbaz mahallasi",943859060,direktor,KOMILOV SHUXRATJON MUSAJONOVICH,,00083,20208000400399403001,394 от 20.06.2024,принито,,,,,,,,,
,74,202431074,"""БАХОДИРБЕК Э.М.М.М"" ХУСУСИЙ ФИРМАСИ","Andijon viloyati, Oltinko'l tumani, Bo'ston shaharchasi Туркистон кучаси",2660575,direktor,YULDASHEV BAXODIRJON SHOKIROVICH,,00433,20208000403889897001,384 от 11.06.2024,принито,Олтиной,,Андижон,,,,,,
,75,201505013,"""GULI RA'NO"" XK","Surxondaryo viloyati, Termiz sh. Журабаева кучаси 8",2431919,direktor,ERGASHEVA ASHIRGUL XXX,,01032,20208000600361741001,118 от 17.03.2023,принито,Ситора,,Термиз,,,,,,
,76,303550628/1,"""VAKSINA HEALTHCARE"" MCHJ","Toshkent shahri, Shayxontohur tumani Farobiy ko'chasi, 29-uy",909890305,direktor,AVALOV ELBEK MUXIDDINOVICH,,00445,20208000400525944001,391 от 19.06.2024,принито,Хикматилла,,Тошкент,,,,,,
,77,302699362/2024,"""PHARMA CHOICE"" MCHJ","Toshkent shahri, Chilonzor tumani CHORBOG` KO`CHASI, 51-UY",935705200,direktor,KURBANGALIYEV ISKANDAR KOMOLOVICH,,01042,20208000200254796001,398 от 25.06.2024,принито,Хикматилла,,Тошкент,,,,,,
,78,307511269,"""OSIYO OLTIN MED FARM"" XK","Surxondaryo viloyati, Termiz sh. Taraqqiyot ko'chasi, 46-uy",919077528,direktor,KENJAYEV ORIF TO‘RAYEVICH,,01032,20208000805244216001,120 от 23.03.2023,принито,Шахноза ,93/797-74-74,Сурхондарё,Термиз ,,,,190100,
,79,207118387,"""GURLAN SAIDBEK FARM"" XK","Xorazm viloyati, Gurlan tumani, Gurlan shaharchasi Ziroatchilar ko'chasi, 20-uy",977202662,direktor,KOMILOVA LAYLO KOMIL QIZI,,00083,20208000304913019001,223 от 28.07.2023,принито,Лайло,,Ургенч,,,,,,
,80,201233756,"""SAWLAT"" XK","Qoraqalpog'iston Respublikasi, Nukus sh., Nukus shahar hokimiyatiga qarashli shaharchalar Kurbanov ko'chasi, 10-uy",933684447,direktor,TLEPOVA XURLIMAN AXMED QIZI,,01038,20208000200411494001,202 от 06.07.2023,принито,УЛЗОДА,,Нукус,,,ХУРЛИМАН,90/723-06-35,,
,81,200238963/2,"""BIG-FAMILY-PHARM"" MCHJ","Andijon viloyati, Andijon sh. Furqat ko`chasi, 24-manzil",901728800,direktor,RASULOV XURSHIDBEK RUSTAMOVICH,,00491,20208000400185448001,302 от 06.02.2024,принито,Хикматилло,,Тошкент,,,,,,
,82,305214765,"""SHERZOD SHIRIN FARM SERVIS"" MCHJ","Samarqand viloyati, Samarqand sh. Spitamen shox ko'chasi, 3-uy",933450064,direktor,SALOMOV SHEROZ ILXOMOVICH,,00440,20208000700828973001,38 от 20.01.2023,принито,Азиз,,Самарканд,,,,,,
,83,201641724,"""TM-MOXINUR"" MCHJ","Andijon viloyati, Andijon sh. Maorif MFY, Universitet ko'chasi, 2-uy",902101077,direktor,TESHABAYEV XUMOYUNBEK MUTALLIBJON O‘G‘LI,,00450,20208000600406277001,333 от 19.03.2024,принито,Гулноза,,Андижон,,,,,,
,84,308639795,"""BEHZOD-FARM-YANGIYER"" MCHJ","Sirdaryo viloyati, Yangiyer sh. Bobur mahallasi, Bobur ko'chasi",972774486,direktor,KUNDUZOV BEXZOD ZAKIRBAYEVICH,,01037,20208000105410790001,395 от 20.06.2024,принито,Хулкар,,Сирдарйо,,,,,,
,85,302083734,"""JALOLQUDUQ BIO-XIM FARM"" XK","Andijon viloyati, Jalolquduq tumani, Oyim QFY Улугбек кучаси 15",998749861080,direktor,GAFFAROV KOSIMJON GULOMOVICH,,00873,20208000504931765001,393 от 19.06.2024,принито,Гулноза,97/991-78-71,Андижон,,,,99.8648225,170120,
,86,302203987,"""ODINA MADINA"" MCHJ","Xorazm viloyati, Bog'ot tumani, Dehqonbozor QFY Dehqonobod mahallasi",8907255511,direktor,ALLABERGANOV FARHOD ORTIQOVICH,,00401,20208000804955804001,361 от 08.05.2024,принито,Саодат,,Хоразм,,,yoqubboy,94/112-55-02,,
